Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious,Deaths1Mpop,TotalTests,Tests1Mpop,Population,LastUpdated
Slovakia,382720,,11732.0,,363604,,7384,310.0,2148.0,2629250.0,481385.0,5461845.0,2021-05-02 03:24:00+00:00
Panama,364844,,6235.0,,354713,,3896,105.0,1426.0,2402739.0,549693.0,4371053.0,2021-05-02 03:24:00+00:00
Belarus,359982,,2552.0,,350433,,6997,,270.0,5868221.0,621191.0,9446733.0,2021-05-02 03:24:00+00:00
Greece,346422,,10453.0,,306498,,29471,811.0,1007.0,8165612.0,786624.0,10380577.0,2021-05-02 03:24:00+00:00
Croatia,334229,,7130.0,,312823,,14276,246.0,1746.0,1814505.0,444281.0,4084137.0,2021-05-02 03:24:00+00:00
Nepal,328893,,3298.0,,282382,,43213,,112.0,2488359.0,84149.0,29570715.0,2021-05-02 03:24:00+00:00
Kazakhstan,322695,,3699.0,,276977,,42019,221.0,195.0,10190393.0,537381.0,18963084.0,2021-05-02 03:24:00+00:00
Azerbaijan,320322,,4538.0,,291564,,24220,,444.0,3253878.0,318536.0,10215094.0,2021-05-02 03:24:00+00:00
Georgia,311457,,4130.0,,291457,,15870,,1037.0,4204446.0,1055655.0,3982784.0,2021-05-02 03:24:00+00:00
Tunisia,310734,,10808.0,,261552,,38374,518.0,907.0,1319328.0,110670.0,11921296.0,2021-05-02 03:24:00+00:00
Bolivia,306527,933.0,13009.0,34.0,252780,1116.0,40738,71.0,1102.0,1178553.0,99834.0,11805074.0,2021-05-02 03:24:00+00:00
Palestine,296462,,3249.0,,272333,,20880,147.0,625.0,1741234.0,334891.0,5199404.0,2021-05-02 03:24:00+00:00
Paraguay,281023,,6476.0,,231517,,43030,512.0,899.0,1102980.0,153080.0,7205234.0,2021-05-02 03:24:00+00:00
Kuwait,275270,,1569.0,,258599,,15102,220.0,363.0,2334897.0,540119.0,4322927.0,2021-05-02 03:24:00+00:00
Dominican Republic,266861,,3487.0,,227267,,36107,196.0,319.0,1406420.0,128578.0,10938244.0,2021-05-02 03:24:00+00:00
Ethiopia,258062,,3709.0,,200148,,54205,912.0,32.0,2584305.0,22029.0,117315204.0,2021-05-02 03:24:00+00:00
Denmark,252045,,2489.0,,239913,,9643,37.0,428.0,38325742.0,6597448.0,5809177.0,2021-05-02 03:24:00+00:00
Moldova,251160,,5826.0,,240393,,4941,207.0,1447.0,993704.0,246813.0,4026147.0,2021-05-02 03:24:00+00:00
Costa Rica,250991,,3231.0,,203009,,44751,380.0,629.0,974477.0,189854.0,5132758.0,2021-05-02 03:24:00+00:00
Ireland,249437,,4906.0,,231694,,12837,41.0,984.0,4512912.0,905558.0,4983570.0,2021-05-02 03:24:00+00:00
Lithuania,248655,,3937.0,,224649,,20069,223.0,1463.0,2814398.0,1046043.0,2690519.0,2021-05-02 03:24:00+00:00
Slovenia,241309,,4258.0,,227411,,9640,154.0,2048.0,1178789.0,566950.0,2079176.0,2021-05-02 03:24:00+00:00
Egypt,228584,,13402.0,,171542,,43640,90.0,129.0,2715258.0,26125.0,103931972.0,2021-05-02 03:24:00+00:00
Guatemala,228477,,7543.0,,204141,,16793,5.0,415.0,1264544.0,69519.0,18189912.0,2021-05-02 03:24:00+00:00
Armenia,216596,,4128.0,,199115,,13353,,1391.0,988086.0,332929.0,2967855.0,2021-05-02 03:24:00+00:00
Honduras,213167,834.0,5318.0,37.0,78806,183.0,129043,566.0,530.0,629447.0,62724.0,10035141.0,2021-05-02 03:24:00+00:00
Qatar,206302,,465.0,,191071,,14766,364.0,166.0,1908717.0,679790.0,2807805.0,2021-05-02 03:24:00+00:00
Uruguay,200908,,2669.0,,170750,,27489,559.0,766.0,1814302.0,520790.0,3483749.0,2021-05-02 03:24:00+00:00
Venezuela,198865,,2155.0,,180301,,16409,317.0,76.0,3359014.0,118405.0,28368759.0,2021-05-02 03:24:00+00:00
Bosnia and Herzegovina,198461,,8551.0,,159223,,30687,,2620.0,907054.0,277915.0,3263787.0,2021-05-02 03:24:00+00:00
Oman,193253,,2010.0,,173123,,18120,275.0,386.0,1550000.0,297285.0,5213849.0,2021-05-02 03:24:00+00:00
Bahrain,177997,,648.0,,166851,,10498,89.0,370.0,4108476.0,2347399.0,1750225.0,2021-05-02 03:24:00+00:00
Libya,177508,,3029.0,,163191,,11288,,436.0,958768.0,137976.0,6948783.0,2021-05-02 03:24:00+00:00
Nigeria,165110,,2063.0,,155101,,7946,11.0,10.0,1912628.0,9092.0,210358766.0,2021-05-02 03:24:00+00:00
Kenya,160053,,2744.0,,108789,,48520,188.0,50.0,1675310.0,30599.0,54750456.0,2021-05-02 03:24:00+00:00
North Macedonia,152581,,4891.0,,133070,,14620,124.0,2348.0,723722.0,347392.0,2083303.0,2021-05-02 03:24:00+00:00
Myanmar,142831,,3209.0,,131972,,7650,,59.0,2577903.0,47117.0,54713038.0,2021-05-02 03:24:00+00:00
Albania,131185,,2396.0,,110172,,18617,18.0,833.0,636651.0,221430.0,2875178.0,2021-05-02 03:24:00+00:00
S. Korea,123240,606.0,1833.0,2.0,112865,528.0,8542,170.0,36.0,8898234.0,173435.0,51305935.0,2021-05-02 03:24:00+00:00
Estonia,122450,,1166.0,,112007,,9277,57.0,878.0,1288985.0,971149.0,1327278.0,2021-05-02 03:24:00+00:00
Algeria,122311,,3261.0,,85249,,33801,28.0,73.0,230861.0,5187.0,44506651.0,2021-05-02 03:24:00+00:00
Latvia,119370,,2139.0,,108949,,8282,84.0,1145.0,2305084.0,1233477.0,1868770.0,2021-05-02 03:24:00+00:00
Norway,113259,,756.0,,88952,,23551,34.0,139.0,5212177.0,955229.0,5456469.0,2021-05-02 03:24:00+00:00
Sri Lanka,109862,,687.0,,96478,,12697,,32.0,2733805.0,127225.0,21487952.0,2021-05-02 03:24:00+00:00
Cuba,107622,,654.0,,101475,,5493,73.0,58.0,3654854.0,322843.0,11320855.0,2021-05-02 03:24:00+00:00
Montenegro,97517,,1502.0,,93701,,2314,69.0,2391.0,376905.0,600041.0,628132.0,2021-05-02 03:24:00+00:00
Kyrgyzstan,95752,,1612.0,,89461,,4679,72.0,244.0,993406.0,150212.0,6613368.0,2021-05-02 03:24:00+00:00
Ghana,92601,,779.0,,90248,,1574,7.0,25.0,1081113.0,34202.0,31609384.0,2021-05-02 03:24:00+00:00
Zambia,91670,,1251.0,,90012,,407,45.0,67.0,1406735.0,74792.0,18808586.0,2021-05-02 03:24:00+00:00
Uzbekistan,91250,,650.0,,87313,,3287,23.0,19.0,1377915.0,40681.0,33871350.0,2021-05-02 03:24:00+00:00
China,90686,15.0,4636.0,,85725,15.0,325,4.0,3.0,160000000.0,111163.0,1439323776.0,2021-05-02 03:24:00+00:00
Finland,87096,,914.0,,46000,,40182,31.0,165.0,4484272.0,808285.0,5547888.0,2021-05-02 03:24:00+00:00
Cameroon,72250,,1107.0,,67625,,3518,385.0,41.0,1257949.0,46433.0,27091519.0,2021-05-02 03:24:00+00:00
Mozambique,69965,,814.0,,66883,,2268,43.0,25.0,520205.0,16268.0,31977645.0,2021-05-02 03:24:00+00:00
