StateName,TotalConfirmed,TotalRecovered,TotalDeaths,TotalActive,NewCases,NewDeaths,NewRecovered,NewActive,StateCode,UpdatedOn
Andaman and Nicobar,6255,5958,72,225,74,2,79,-7,35,2021-05-07 08:00:00-05:30
Andhra Pradesh,1228186,1037411,8446,182329,44158,157,21269,22732,28,2021-05-07 08:00:00-05:30
Arunachal Pradesh,19634,17717,59,1858,442,0,216,226,12,2021-05-07 08:00:00-05:30
Assam,277687,242980,1531,33176,9762,101,5892,3769,18,2021-05-07 08:00:00-05:30
Bihar,553803,435574,3077,115152,29962,151,25090,4721,10,2021-05-07 08:00:00-05:30
Chandigarh,47552,38591,541,8420,1576,23,1303,250,4,2021-05-07 08:00:00-05:30
Chhattisgarh,816489,675294,9950,131245,29003,465,21752,6786,22,2021-05-07 08:00:00-05:30
Dadra and Nagar Haveli and Daman and Diu,8502,6917,4,1581,328,0,353,-25,26,2021-05-07 08:00:00-05:30
Delhi,1273035,1164008,18398,90629,40093,646,39237,210,7,2021-05-07 08:00:00-05:30
Goa,108267,77014,1501,29752,7365,129,4215,3021,30,2021-05-07 08:00:00-05:30
Gujarat,645972,490412,8035,147525,25500,256,26016,-772,24,2021-05-07 08:00:00-05:30
Haryana,573815,452836,5137,115842,30256,358,22886,7012,6,2021-05-07 08:00:00-05:30
Himachal Pradesh,118729,89236,1737,27756,7784,77,3523,4184,2,2021-05-07 08:00:00-05:30
Jammu and Kashmir,201511,157283,2562,41666,9642,104,5174,4364,1,2021-05-07 08:00:00-05:30
Jharkhand,270089,205977,3479,60633,12744,274,11544,926,20,2021-05-07 08:00:00-05:30
Karnataka,1790104,1255797,17212,517095,99170,674,45784,52712,29,2021-05-07 08:00:00-05:30
Kerala,1786396,1389515,5628,391253,84417,121,50258,34038,32,2021-05-07 08:00:00-05:30
Ladakh,14909,13326,151,1432,349,0,291,58,37,2021-05-07 08:00:00-05:30
Lakshadweep,3528,2374,8,1146,279,2,296,-19,31,2021-05-07 08:00:00-05:30
Maharashtra,4942736,4227940,73515,641281,119834,1773,120848,-2787,27,2021-05-07 08:00:00-05:30
Manipur,33733,30295,447,2991,777,23,154,600,14,2021-05-07 08:00:00-05:30
Meghalaya,18630,16086,193,2351,616,8,276,332,17,2021-05-07 08:00:00-05:30
Mizoram,7147,5351,17,1779,353,0,183,170,15,2021-05-07 08:00:00-05:30
Madhya Pradesh,637406,542632,6160,88614,24740,157,22608,1975,23,2021-05-07 08:00:00-05:30
Nagaland,15271,12905,121,2245,554,3,104,447,13,2021-05-07 08:00:00-05:30
Odisha,500162,423257,2121,74784,20410,33,13030,7347,21,2021-05-07 08:00:00-05:30
Puducherry,66627,53296,901,12430,3329,36,1712,1581,34,2021-05-07 08:00:00-05:30
Punjab,416350,339803,9979,66568,16794,334,11827,4633,3,2021-05-07 08:00:00-05:30
Rajasthan,702568,499376,5182,198010,34347,316,33066,965,8,2021-05-07 08:00:00-05:30
Sikkim,9183,6769,158,2256,485,7,152,326,11,2021-05-07 08:00:00-05:30
Tamil Nadu,1297500,1151058,14974,131468,48208,362,41608,6238,33,2021-05-07 08:00:00-05:30
Telengana,481640,405164,2625,73851,11918,98,15673,-3853,36,2021-05-07 08:00:00-05:30
Tripura,36849,34153,404,2292,615,4,224,387,16,2021-05-07 08:00:00-05:30
Uttar Pradesh,1425916,1151571,14501,259844,57733,703,69754,-12724,9,2021-05-07 08:00:00-05:30
Uttarakhand,220351,154147,3293,62911,16300,278,9738,6284,5,2021-05-07 08:00:00-05:30
West Bengal,935066,800328,11964,122774,36533,220,34485,1828,19,2021-05-07 08:00:00-05:30
