Country,TotalCases,TotalDeaths,TotalRecovered,ActiveCases,Serious,Deaths1Mpop,TotalTests,Tests1Mpop,Population,NewCases,NewDeaths,NewRecovered,NewActive,LastUpdated
World,157506343,3282495.0,135616999,18606849,108715.0,421.1,,,,1693079,27618.0,1659609,5852,2021-05-07 23:42:00+00:00
USA,33415414,594885.0,26151366,6669163,9159.0,1788.0,455887355.0,1370500.0,332643210.0,94442,1751.0,128772,-36081,2021-05-07 23:42:00+00:00
India,21886556,238265.0,17917013,3731278,8944.0,171.0,298601699.0,214596.0,1391457000.0,815704,8114.0,647937,159653,2021-05-07 23:42:00+00:00
Brazil,15082449,419114.0,13640478,1022857,8318.0,1960.0,46616516.0,218001.0,213835998.0,145985,4469.0,110906,30610,2021-05-07 23:42:00+00:00
France,5747214,106101.0,4817523,823590,5106.0,1622.0,78205751.0,1195885.0,65395729.0,40836,470.0,88105,-47739,2021-05-07 23:42:00+00:00
Turkey,4998089,42465.0,4662328,293296,3260.0,499.0,48963800.0,575335.0,85104881.0,42495,582.0,72827,-30914,2021-05-07 23:42:00+00:00
Russia,4863514,112622.0,4480360,270532,2300.0,771.0,130600000.0,894598.0,145987440.0,16025,727.0,15810,-512,2021-05-07 23:42:00+00:00
UK,4431043,127598.0,4242192,61253,163.0,1871.0,163171777.0,2392987.0,68187480.0,5103,28.0,4279,796,2021-05-07 23:42:00+00:00
Italy,4092747,122470.0,3572713,397564,2253.0,2028.0,60532582.0,1002419.0,60386514.0,22347,465.0,31447,-9565,2021-05-07 23:42:00+00:00
Spain,3567408,78792.0,3248010,240606,2183.0,1685.0,47213067.0,1009471.0,46770110.0,16146,226.0,15084,836,2021-05-07 23:42:00+00:00
Germany,3504012,85056.0,3128800,290156,5049.0,1012.0,56836969.0,676545.0,84010567.0,34564,463.0,44100,-9999,2021-05-07 23:42:00+00:00
Argentina,3118134,66872.0,2777902,273360,5268.0,1468.0,11683923.0,256531.0,45545928.0,46638,1007.0,43437,2194,2021-05-07 23:42:00+00:00
Colombia,2968626,76867.0,2788751,103008,6006.0,1497.0,15283737.0,297693.0,51340559.0,34015,852.0,33811,-648,2021-05-07 23:42:00+00:00
Poland,2824425,69445.0,2555059,199921,2296.0,1837.0,14678781.0,388209.0,37811502.0,12474,963.0,14375,-2864,2021-05-07 23:42:00+00:00
Iran,2627094,74241.0,2074089,478764,5534.0,874.0,16789338.0,197755.0,84899496.0,35485,673.0,34662,150,2021-05-07 23:42:00+00:00
Mexico,2358831,218173.0,1879713,260945,4798.0,1677.0,6714852.0,51623.0,130075942.0,5867,433.0,4502,932,2021-05-07 23:42:00+00:00
Ukraine,2105428,45830.0,1731162,328436,177.0,1053.0,9555109.0,219603.0,43510910.0,14442,753.0,33804,-20115,2021-05-07 23:42:00+00:00
Peru,1832671,63223.0,1720665,48783,2658.0,1895.0,11483598.0,344243.0,33359002.0,13982,549.0,32574,-19141,2021-05-07 23:42:00+00:00
Indonesia,1703632,46663.0,1558423,98546,,169.0,15099282.0,54715.0,275964453.0,11974,314.0,11331,329,2021-05-07 23:42:00+00:00
Czechia,1642696,29608.0,1570842,42246,411.0,2760.0,19585985.0,1826064.0,10725794.0,3448,129.0,2212,1107,2021-05-07 23:42:00+00:00
South Africa,1592326,54687.0,1513202,24437,546.0,912.0,10831738.0,180712.0,59939283.0,4105,130.0,2817,1158,2021-05-07 23:42:00+00:00
Netherlands,1546070,17290.0,1302085,226695,789.0,1007.0,12762141.0,743413.0,17166953.0,14270,45.0,11840,2385,2021-05-07 23:42:00+00:00
Canada,1272446,24522.0,1166648,81276,1456.0,645.0,32266260.0,848630.0,38021585.0,15118,72.0,15441,-395,2021-05-07 23:42:00+00:00
Chile,1235778,27004.0,1170437,38337,3176.0,1402.0,13432114.0,697599.0,19254771.0,12829,278.0,9492,3059,2021-05-07 23:42:00+00:00
Iraq,1103950,15702.0,992423,95825,533.0,383.0,9606567.0,234416.0,40980899.0,11996,62.0,13382,-1448,2021-05-07 23:42:00+00:00
Philippines,1087885,18099.0,1003160,66626,750.0,163.0,12173692.0,109860.0,110810725.0,14330,299.0,10118,3913,2021-05-07 23:42:00+00:00
Romania,1063949,28799.0,1009237,25913,1041.0,1506.0,8419526.0,440149.0,19128823.0,3054,183.0,6252,-3381,2021-05-07 23:42:00+00:00
Sweden,1007792,14173.0,835458,158161,403.0,1396.0,8798383.0,866624.0,10152485.0,12197,22.0,14627,-2452,2021-05-07 23:42:00+00:00
Belgium,1007264,24444.0,880267,102553,757.0,2101.0,12821364.0,1102223.0,11632275.0,7637,77.0,3593,3967,2021-05-07 23:42:00+00:00
Pakistan,850131,18677.0,747755,83699,5177.0,83.0,12101832.0,53906.0,224500406.0,8495,248.0,9028,-781,2021-05-07 23:42:00+00:00
Israel,838858,6375.0,831432,1051,87.0,693.0,14346755.0,1559839.0,9197590.0,91,5.0,214,-128,2021-05-07 23:42:00+00:00
Portugal,838852,16989.0,799442,22421,75.0,1670.0,10781631.0,1059983.0,10171514.0,750,6.0,1028,-284,2021-05-07 23:42:00+00:00
Hungary,789188,28403.0,553836,206949,445.0,2947.0,5494198.0,569963.0,9639566.0,3221,230.0,14871,-11880,2021-05-07 23:42:00+00:00
