Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious,Deaths1Mpop,TotalTests,Tests1Mpop,Population,LastUpdated
World,154177380,3018.0,3226858.0,132.0,132299003,6848.0,18651519,111453.0,414.0,,,,2021-05-04 01:36:00+00:00
USA,33230561,,591514.0,,25909393,,6729654,9427.0,1778.0,450287188.0,1353729.0,332627330.0,2021-05-04 01:36:00+00:00
India,20275543,,222383.0,,16600703,,3452457,8944.0,160.0,291647037.0,209615.0,1391345879.0,2021-05-04 01:36:00+00:00
Brazil,14791434,,408829.0,,13336476,,1046129,8318.0,1912.0,46439030.0,217184.0,213823632.0,2021-05-04 01:36:00+00:00
France,5656007,,105130.0,,4656418,,894459,5630.0,1608.0,77161949.0,1179945.0,65394549.0,2021-05-04 01:36:00+00:00
Turkey,4900121,,41191.0,,4515819,,343111,3438.0,484.0,47987986.0,563918.0,85097446.0,2021-05-04 01:36:00+00:00
Russia,4831744,,111198.0,,4450289,,270257,2300.0,762.0,130000000.0,890491.0,145986929.0,2021-05-04 01:36:00+00:00
UK,4421850,,127539.0,,4231750,,62561,185.0,1870.0,156302824.0,2292349.0,68184563.0,2021-05-04 01:36:00+00:00
Italy,4050708,,121433.0,,3505717,,423558,2490.0,2011.0,59236655.0,980947.0,60387240.0,2021-05-04 01:36:00+00:00
Spain,3540430,,78293.0,,3222697,,239440,2323.0,1674.0,47213067.0,1009474.0,46769962.0,2021-05-04 01:36:00+00:00
Germany,3435877,,84020.0,,3040700,,311157,5049.0,1000.0,55490413.0,660534.0,84008377.0,2021-05-04 01:36:00+00:00
Argentina,3021179,,64792.0,,2698072,,258315,5426.0,1423.0,11329752.0,248773.0,45542532.0,2021-05-04 01:36:00+00:00
Colombia,2905254,,75164.0,,2721317,,108773,6006.0,1464.0,14999981.0,292192.0,51336116.0,2021-05-04 01:36:00+00:00
Poland,2805756,,68105.0,,2529844,,207807,2593.0,1801.0,14459033.0,382394.0,37811840.0,2021-05-04 01:36:00+00:00
Iran,2555587,,72875.0,,2004949,,477763,5461.0,858.0,16240345.0,191309.0,84890684.0,2021-05-04 01:36:00+00:00
Mexico,2349900,1027.0,217345.0,112.0,1872375,5184.0,260180,4798.0,1671.0,6659184.0,51199.0,130064845.0,2021-05-04 01:36:00+00:00
Ukraine,2085938,,44750.0,,1681815,,359373,177.0,1028.0,9487141.0,218030.0,43513052.0,2021-05-04 01:36:00+00:00
Peru,1814127,,62375.0,,1688091,,63661,2654.0,1870.0,11293108.0,338571.0,33355236.0,2021-05-04 01:36:00+00:00
Indonesia,1682004,,45949.0,,1535491,,100564,,167.0,14791816.0,53605.0,275940759.0,2021-05-04 01:36:00+00:00
Czechia,1634619,,29365.0,,1562295,,42959,458.0,2738.0,18530196.0,1727655.0,10725632.0,2021-05-04 01:36:00+00:00
South Africa,1584961,,54452.0,,1508558,,21951,546.0,909.0,10715773.0,178795.0,59933154.0,2021-05-04 01:36:00+00:00
Netherlands,1516802,,17189.0,,1278135,,221478,818.0,1001.0,12762141.0,743427.0,17166644.0,2021-05-04 01:36:00+00:00
Canada,1243257,,24342.0,,1135356,,83559,1422.0,640.0,31756698.0,835288.0,38018875.0,2021-05-04 01:36:00+00:00
Chile,1215815,,26659.0,,1149795,,39361,3303.0,1385.0,13243447.0,687849.0,19253428.0,2021-05-04 01:36:00+00:00
Iraq,1079998,,15566.0,,964551,,99881,555.0,380.0,9445914.0,230537.0,40973483.0,2021-05-04 01:36:00+00:00
Philippines,1062225,,17525.0,,975234,,69466,750.0,158.0,11951899.0,107870.0,110798769.0,2021-05-04 01:36:00+00:00
Romania,1058337,,28380.0,,997749,,32208,1214.0,1484.0,8291517.0,433433.0,19129869.0,2021-05-04 01:36:00+00:00
Belgium,995562,,24291.0,,868294,,102977,824.0,2088.0,12622262.0,1085145.0,11631863.0,2021-05-04 01:36:00+00:00
Sweden,973604,,14048.0,,816349,,143207,392.0,1384.0,8798383.0,866668.0,10151970.0,2021-05-04 01:36:00+00:00
Israel,838621,,6367.0,,830995,,1259,97.0,692.0,14237834.0,1547996.0,9197590.0,2021-05-04 01:36:00+00:00
Portugal,837457,,16977.0,,797124,,23356,90.0,1669.0,10633251.0,1045370.0,10171756.0,2021-05-04 01:36:00+00:00
Pakistan,834146,,18149.0,,728044,,87953,5377.0,81.0,11928095.0,53140.0,224465191.0,2021-05-04 01:36:00+00:00
Hungary,784111,,27908.0,,528201,,228002,572.0,2895.0,5429737.0,563264.0,9639766.0,2021-05-04 01:36:00+00:00
Bangladesh,763682,,11644.0,,691162,,60876,1078.0,70.0,5518410.0,33231.0,166060868.0,2021-05-04 01:36:00+00:00
Jordan,714173,,8925.0,,691218,,14030,729.0,868.0,6743722.0,655507.0,10287802.0,2021-05-04 01:36:00+00:00
Serbia,693169,,6432.0,,645490,,41247,141.0,739.0,3860140.0,443296.0,8707824.0,2021-05-04 01:36:00+00:00
Switzerland,663952,,10655.0,,594764,,58533,240.0,1224.0,6978583.0,801438.0,8707574.0,2021-05-04 01:36:00+00:00
Austria,623201,,10260.0,,591525,,21416,476.0,1134.0,32495877.0,3590937.0,9049414.0,2021-05-04 01:36:00+00:00
Japan,602862,,10361.0,,531069,,61432,1084.0,82.0,12007007.0,95179.0,126151493.0,2021-05-04 01:36:00+00:00
Lebanon,528457,,7345.0,,464660,,56452,539.0,1080.0,4011613.0,589962.0,6799781.0,2021-05-04 01:36:00+00:00
UAE,525567,,1596.0,,506020,,17951,,160.0,44674361.0,4471812.0,9990214.0,2021-05-04 01:36:00+00:00
Morocco,511912,,9032.0,,498624,,4256,176.0,242.0,6282544.0,168541.0,37276012.0,2021-05-04 01:36:00+00:00
Saudi Arabia,420301,,6992.0,,403702,,9607,1359.0,198.0,17097031.0,484800.0,35266155.0,2021-05-04 01:36:00+00:00
Malaysia,417512,,1551.0,,385208,,30753,352.0,47.0,9540805.0,291658.0,32712280.0,2021-05-04 01:36:00+00:00
Bulgaria,405825,,16548.0,,341168,,48109,649.0,2397.0,2535366.0,367206.0,6904488.0,2021-05-04 01:36:00+00:00
Ecuador,388046,,18765.0,,329582,,39699,617.0,1050.0,1296909.0,72589.0,17866575.0,2021-05-04 01:36:00+00:00
Slovakia,383228,,11807.0,,364260,,7161,321.0,2162.0,2676393.0,490015.0,5461859.0,2021-05-04 01:36:00+00:00
Panama,365299,,6244.0,,355187,,3868,105.0,1428.0,2412680.0,551921.0,4371424.0,2021-05-04 01:36:00+00:00
Belarus,361897,,2572.0,,352464,,6861,,272.0,5895273.0,624055.0,9446716.0,2021-05-04 01:36:00+00:00
Greece,348568,,10587.0,,313186,,24795,797.0,1020.0,8189449.0,788941.0,10380300.0,2021-05-04 01:36:00+00:00
Nepal,343418,,3362.0,,286015,,54041,,114.0,2521164.0,85251.0,29573582.0,2021-05-04 01:36:00+00:00
Croatia,335522,,7218.0,,316926,,11378,244.0,1767.0,1827068.0,447372.0,4084000.0,2021-05-04 01:36:00+00:00
Kazakhstan,327995,,3733.0,,280342,,43920,221.0,197.0,10307341.0,543513.0,18964311.0,2021-05-04 01:36:00+00:00
Azerbaijan,321798,,4580.0,,294784,,22434,,448.0,3267835.0,319887.0,10215593.0,2021-05-04 01:36:00+00:00
Georgia,312954,,4163.0,,294252,,14539,,1045.0,4225674.0,1060996.0,3982742.0,2021-05-04 01:36:00+00:00
Tunisia,312747,,10915.0,,264730,,37102,529.0,916.0,1328283.0,111415.0,11921972.0,2021-05-04 01:36:00+00:00
Bolivia,308984,1423.0,13035.0,14.0,254683,1277.0,41266,83.0,1104.0,1195045.0,101224.0,11805944.0,2021-05-04 01:36:00+00:00
Palestine,298203,,3283.0,,276171,,18749,133.0,631.0,1754630.0,337425.0,5200054.0,2021-05-04 01:36:00+00:00
Paraguay,284453,,6653.0,,235374,,42426,527.0,923.0,1115054.0,154746.0,7205713.0,2021-05-04 01:36:00+00:00
Kuwait,277832,,1590.0,,261369,,14873,207.0,368.0,2351938.0,544018.0,4323272.0,2021-05-04 01:36:00+00:00
Dominican Republic,267681,,3499.0,,228460,,35722,186.0,320.0,1412165.0,129096.0,10938838.0,2021-05-04 01:36:00+00:00
Ethiopia,258813,,3757.0,,201156,,53900,858.0,32.0,2590091.0,22075.0,117330812.0,2021-05-04 01:36:00+00:00
Costa Rica,256676,,3290.0,,205467,,47919,403.0,641.0,1004802.0,195753.0,5133012.0,2021-05-04 01:36:00+00:00
Denmark,253673,,2490.0,,241279,,9904,42.0,429.0,39128492.0,6735506.0,5809288.0,2021-05-04 01:36:00+00:00
Moldova,251378,,5850.0,,241216,,4312,199.0,1453.0,996005.0,247387.0,4026096.0,2021-05-04 01:36:00+00:00
Lithuania,250337,,3956.0,,224942,,21439,223.0,1470.0,2840441.0,1055803.0,2690313.0,2021-05-04 01:36:00+00:00
Ireland,250290,,4906.0,,232789,,12595,40.0,984.0,4512912.0,905503.0,4983871.0,2021-05-04 01:36:00+00:00
Slovenia,241883,,4269.0,,228110,,9504,149.0,2053.0,1181996.0,568492.0,2079178.0,2021-05-04 01:36:00+00:00
Egypt,230713,,13531.0,,172774,,44408,90.0,130.0,2715258.0,26123.0,103942535.0,2021-05-04 01:36:00+00:00
Guatemala,228871,,7578.0,,206217,,15076,5.0,417.0,1266989.0,69646.0,18191726.0,2021-05-04 01:36:00+00:00
Armenia,217008,,4149.0,,200472,,12387,,1398.0,993612.0,334788.0,2967885.0,2021-05-04 01:36:00+00:00
Honduras,213970,,5334.0,,79096,,129540,566.0,531.0,631929.0,62966.0,10036002.0,2021-05-04 01:36:00+00:00
Qatar,207592,,480.0,,194099,,13013,310.0,171.0,1918009.0,683099.0,2807805.0,2021-05-04 01:36:00+00:00
Uruguay,204120,,2796.0,,176783,,24541,555.0,803.0,1828957.0,524987.0,3483815.0,2021-05-04 01:36:00+00:00
Venezuela,200067,,2172.0,,180301,,17594,317.0,77.0,3359014.0,118407.0,28368321.0,2021-05-04 01:36:00+00:00
Bosnia and Herzegovina,198461,,8551.0,,159223,,30687,,2620.0,907054.0,277924.0,3263676.0,2021-05-04 01:36:00+00:00
Oman,196900,,2053.0,,178052,,16795,285.0,394.0,1550000.0,297245.0,5214561.0,2021-05-04 01:36:00+00:00
Bahrain,180462,,657.0,,168865,,10940,101.0,375.0,4139497.0,2364684.0,1750550.0,2021-05-04 01:36:00+00:00
Libya,178335,,3047.0,,164196,,11092,,438.0,964275.0,138759.0,6949294.0,2021-05-04 01:36:00+00:00
Nigeria,165199,,2063.0,,155371,,7765,11.0,10.0,1912628.0,9091.0,210386770.0,2021-05-04 01:36:00+00:00
Kenya,160559,,2781.0,,109077,,48701,190.0,51.0,1681420.0,30707.0,54756944.0,2021-05-04 01:36:00+00:00
North Macedonia,152747,,4961.0,,133871,,13915,124.0,2381.0,725240.0,348120.0,2083302.0,2021-05-04 01:36:00+00:00
Myanmar,142842,,3209.0,,131989,,7644,,59.0,2581101.0,47174.0,54715028.0,2021-05-04 01:36:00+00:00
Albania,131276,,2399.0,,111792,,17085,18.0,834.0,639613.0,222462.0,2875161.0,2021-05-04 01:36:00+00:00
S. Korea,124269,541.0,1840.0,6.0,114128,772.0,8301,162.0,36.0,8957155.0,174582.0,51306175.0,2021-05-04 01:36:00+00:00
Estonia,122943,,1172.0,,112480,,9291,57.0,883.0,1298160.0,978058.0,1327283.0,2021-05-04 01:36:00+00:00
Algeria,122717,,3280.0,,85534,,33903,28.0,74.0,230861.0,5187.0,44510983.0,2021-05-04 01:36:00+00:00
Latvia,119953,,2154.0,,109281,,8518,84.0,1153.0,2311233.0,1236842.0,1868656.0,2021-05-04 01:36:00+00:00
Norway,113952,,757.0,,88952,,24243,35.0,139.0,5212177.0,955188.0,5456701.0,2021-05-04 01:36:00+00:00
Sri Lanka,113676,,709.0,,98209,,14758,,33.0,2733805.0,127222.0,21488441.0,2021-05-04 01:36:00+00:00
Cuba,109625,,675.0,,103256,,5694,111.0,60.0,3700029.0,326834.0,11320818.0,2021-05-04 01:36:00+00:00
Montenegro,97718,,1510.0,,94016,,2192,64.0,2404.0,378531.0,602629.0,628133.0,2021-05-04 01:36:00+00:00
Kyrgyzstan,96337,,1622.0,,89921,,4794,72.0,245.0,999519.0,151123.0,6613957.0,2021-05-04 01:36:00+00:00
Ghana,92683,,779.0,,90324,,1580,6.0,25.0,1105620.0,34974.0,31612935.0,2021-05-04 01:36:00+00:00
Uzbekistan,92006,,653.0,,87965,,3388,23.0,19.0,1377915.0,40678.0,33874002.0,2021-05-04 01:36:00+00:00
Zambia,91722,,1253.0,,90130,,339,45.0,67.0,1412261.0,75075.0,18811410.0,2021-05-04 01:36:00+00:00
China,90714,17.0,4636.0,,85753,15.0,325,5.0,3.0,160000000.0,111163.0,1439323776.0,2021-05-04 01:36:00+00:00
Finland,87345,,915.0,,46000,,40430,28.0,165.0,4500853.0,811267.0,5547934.0,2021-05-04 01:36:00+00:00
Cameroon,72250,,1107.0,,67625,,3518,385.0,41.0,1257949.0,46427.0,27095141.0,2021-05-04 01:36:00+00:00
Thailand,71025,,276.0,,40984,,29765,981.0,4.0,8124896.0,116158.0,69946739.0,2021-05-04 01:36:00+00:00
Mozambique,70000,,815.0,,67325,,1860,38.0,25.0,521347.0,16301.0,31982449.0,2021-05-04 01:36:00+00:00
El Salvador,69465,,2134.0,,65015,,2316,31.0,328.0,919566.0,141176.0,6513607.0,2021-05-04 01:36:00+00:00
Luxembourg,67495,,800.0,,64094,,2601,34.0,1261.0,2675621.0,4217090.0,634471.0,2021-05-04 01:36:00+00:00
Cyprus,66911,,321.0,,39061,,27529,66.0,264.0,4962867.0,4085633.0,1214712.0,2021-05-04 01:36:00+00:00
Singapore,61235,,31.0,,60806,,398,,5.0,9536636.0,1619445.0,5888829.0,2021-05-04 01:36:00+00:00
