Country,TotalCases,TotalDeaths,TotalRecovered,ActiveCases,Serious,Deaths1Mpop,TotalTests,Tests1Mpop,Population,NewCases,NewDeaths,NewRecovered,NewActive,LastUpdated
World,161060217,3344402.0,139839760,17876055,105241.0,429.1,,,,1453225,26664.0,1586340,-159779,2021-05-12 23:14:00+00:00
USA,33584867,597758.0,26619452,6367657,8670.0,1797.0,461356084.0,1386829.0,332669677.0,69559,1579.0,112025,-44045,2021-05-12 23:14:00+00:00
India,23702832,258351.0,19728436,3716045,8944.0,186.0,307583991.0,221022.0,1391642201.0,710315,8326.0,701132,857,2021-05-12 23:14:00+00:00
Brazil,15361686,428256.0,13924217,1009213,8318.0,2003.0,46834128.0,218998.0,213856608.0,147656,4820.0,165092,-22256,2021-05-12 23:14:00+00:00
France,5821668,107119.0,4960281,754268,4583.0,1638.0,79684856.0,1218466.0,65397697.0,41289,435.0,43180,-2326,2021-05-12 23:14:00+00:00
Turkey,5072462,43821.0,4801291,227350,2827.0,515.0,50058648.0,588114.0,85117272.0,27526,510.0,57420,-30404,2021-05-12 23:14:00+00:00
Russia,4905059,114331.0,4518529,272199,2300.0,783.0,132100000.0,904867.0,145988292.0,16332,684.0,15623,25,2021-05-12 23:14:00+00:00
UK,4441975,127640.0,4256103,58232,138.0,1872.0,167749070.0,2459940.0,68192342.0,4758,31.0,5404,-677,2021-05-12 23:14:00+00:00
Italy,4131078,123544.0,3655112,352422,1992.0,2046.0,61820196.0,1023762.0,60385304.0,14791,513.0,35526,-21248,2021-05-12 23:14:00+00:00
Spain,3592751,79208.0,3291156,222387,1991.0,1694.0,47213067.0,1009466.0,46770357.0,11359,313.0,16348,-5302,2021-05-12 23:14:00+00:00
Germany,3558148,86009.0,3220300,251839,5049.0,1024.0,56836969.0,676516.0,84014217.0,22794,528.0,23400,-1134,2021-05-12 23:14:00+00:00
Argentina,3215572,68807.0,2869341,277424,5394.0,1511.0,12066534.0,264898.0,45551588.0,50451,986.0,32283,17182,2021-05-12 23:14:00+00:00
Colombia,3048719,79261.0,2859627,109831,6582.0,1544.0,15639108.0,304571.0,51347964.0,33418,919.0,24073,8426,2021-05-12 23:14:00+00:00
Poland,2842339,70679.0,2582519,189141,1859.0,1869.0,14960240.0,395659.0,37810938.0,7256,645.0,6485,126,2021-05-12 23:14:00+00:00
Iran,2707761,75934.0,2162087,469740,5501.0,894.0,17480333.0,205859.0,84914182.0,34542,673.0,34895,-1026,2021-05-12 23:14:00+00:00
Mexico,2368393,219323.0,1891052,258018,4798.0,1686.0,6774089.0,52071.0,130094436.0,1897,234.0,2414,-751,2021-05-12 23:14:00+00:00
Ukraine,2129073,46987.0,1797136,284950,177.0,1080.0,9682286.0,222544.0,43507340.0,6746,475.0,28383,-22112,2021-05-12 23:14:00+00:00
Peru,1858239,64691.0,1720665,72883,2660.0,1939.0,11761084.0,352495.0,33365278.0,4869,318.0,0,4551,2021-05-12 23:14:00+00:00
Indonesia,1728204,47617.0,1584878,95709,,173.0,15410887.0,55836.0,276003941.0,9629,399.0,10263,-1033,2021-05-12 23:14:00+00:00
Czechia,1648667,29787.0,1586400,32480,345.0,2777.0,20529829.0,1914013.0,10726065.0,3219,76.0,5461,-2318,2021-05-12 23:14:00+00:00
South Africa,1602031,54968.0,1519734,27329,546.0,917.0,10968926.0,182969.0,59949498.0,4307,143.0,2384,1780,2021-05-12 23:14:00+00:00
Netherlands,1577754,17399.0,1339957,220398,726.0,1013.0,13171698.0,767247.0,17167470.0,11874,59.0,14850,-3035,2021-05-12 23:14:00+00:00
Canada,1305774,24766.0,1204328,76680,1331.0,651.0,32867352.0,864337.0,38026101.0,11588,84.0,14650,-3146,2021-05-12 23:14:00+00:00
Chile,1260448,27384.0,1199432,33632,3036.0,1422.0,13689304.0,710874.0,19257010.0,7640,66.0,10601,-3027,2021-05-12 23:14:00+00:00
Iraq,1127580,15855.0,1023584,88141,488.0,387.0,9781666.0,238616.0,40993259.0,9953,55.0,11978,-2080,2021-05-12 23:14:00+00:00
Philippines,1118359,18714.0,1046431,53214,750.0,169.0,12416105.0,112028.0,110830652.0,9533,152.0,16064,-6683,2021-05-12 23:14:00+00:00
Romania,1068817,29233.0,1018642,20942,874.0,1528.0,8558927.0,447477.0,19127080.0,2086,199.0,3550,-1663,2021-05-12 23:14:00+00:00
Sweden,1027934,14267.0,862235,151432,373.0,1405.0,8798383.0,866550.0,10153344.0,20142,94.0,5796,14252,2021-05-12 23:14:00+00:00
Belgium,1020332,24609.0,897904,97819,710.0,2115.0,13061760.0,1122823.0,11632963.0,2456,26.0,9358,-6928,2021-05-12 23:14:00+00:00
Pakistan,867438,19210.0,771692,76536,4707.0,86.0,12310875.0,54822.0,224559097.0,2881,104.0,5200,-2423,2021-05-12 23:14:00+00:00
Portugal,840493,16998.0,801621,21874,71.0,1671.0,11011029.0,1082579.0,10171109.0,753,5.0,976,-228,2021-05-12 23:14:00+00:00
Israel,839022,6378.0,831794,850,77.0,693.0,14434897.0,1569422.0,9197590.0,65,0.0,174,-109,2021-05-12 23:14:00+00:00
Hungary,793784,28888.0,592440,172456,361.0,2997.0,5560617.0,576873.0,9639232.0,1398,195.0,16830,-15627,2021-05-12 23:14:00+00:00
Bangladesh,777397,12045.0,718249,47103,1120.0,73.0,5677222.0,34180.0,166096704.0,2370,73.0,5972,-3675,2021-05-12 23:14:00+00:00
Jordan,722336,9180.0,708854,4302,729.0,892.0,6893261.0,669898.0,10290015.0,1338,55.0,3462,-2179,2021-05-12 23:14:00+00:00
Serbia,703497,6611.0,669310,27576,104.0,759.0,3964964.0,455374.0,8707058.0,2171,35.0,5067,-2931,2021-05-12 23:14:00+00:00
Switzerland,677210,10725.0,612471,54014,190.0,1231.0,7216520.0,828632.0,8708956.0,2914,10.0,5561,-2657,2021-05-12 23:14:00+00:00
