Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious,Deaths1Mpop,TotalTests,Tests1Mpop,Population,LastUpdated
Bhutan,1111,5.0,1.0,,993,3.0,117,,1.0,711726.0,914011.0,778684.0,2021-05-03 01:01:00+00:00
St. Barth,974,,1.0,,462,,511,,101.0,26385.0,2664613.0,9902.0,2021-05-03 01:01:00+00:00
Laos,933,112.0,,,51,,882,,,177325.0,24082.0,7363377.0,2021-05-03 01:01:00+00:00
Diamond Princess,712,,13.0,,699,,0,,,,,,2021-05-03 01:01:00+00:00
Faeroe Islands,664,,1.0,,662,,1,,20.0,253211.0,5165674.0,49018.0,2021-05-03 01:01:00+00:00
Cayman Islands,543,,2.0,,526,,15,,30.0,90031.0,1356604.0,66365.0,2021-05-03 01:01:00+00:00
Tanzania,509,,21.0,,183,,305,7.0,0.3,,,61141886.0,2021-05-03 01:01:00+00:00
Wallis and Futuna,444,,7.0,,44,,393,1.0,632.0,15256.0,1377641.0,11074.0,2021-05-03 01:01:00+00:00
Brunei,227,,3.0,,218,,6,,7.0,121153.0,274742.0,440970.0,2021-05-03 01:01:00+00:00
British Virgin Islands,194,,1.0,,191,,2,,33.0,38203.0,1256719.0,30399.0,2021-05-03 01:01:00+00:00
Dominica,174,,,,172,,2,,,14936.0,207056.0,72135.0,2021-05-03 01:01:00+00:00
Grenada,160,,1.0,,158,,1,,9.0,26331.0,233104.0,112958.0,2021-05-03 01:01:00+00:00
New Caledonia,124,,,,58,,66,,,30081.0,104526.0,287785.0,2021-05-03 01:01:00+00:00
Fiji,119,,2.0,,68,,49,,2.0,53253.0,59048.0,901862.0,2021-05-03 01:01:00+00:00
Anguilla,95,2.0,,,29,,66,,,20821.0,1377506.0,15115.0,2021-05-03 01:01:00+00:00
Falkland Islands,63,,,,62,,1,,,7202.0,2020763.0,3564.0,2021-05-03 01:01:00+00:00
Macao,49,,,,49,,0,,,4483.0,6827.0,656700.0,2021-05-03 01:01:00+00:00
Saint Kitts and Nevis,45,,,,44,,1,,,13691.0,255844.0,53513.0,2021-05-03 01:01:00+00:00
Greenland,31,,,,31,,0,,,20669.0,363558.0,56852.0,2021-05-03 01:01:00+00:00
Vatican City,27,,,,15,,12,,,,,803.0,2021-05-03 01:01:00+00:00
Saint Pierre Miquelon,25,,,,25,,0,,,5318.0,921664.0,5770.0,2021-05-03 01:01:00+00:00
Montserrat,20,,1.0,,19,,0,,200.0,1313.0,262863.0,4995.0,2021-05-03 01:01:00+00:00
Solomon Islands,20,,,,20,,0,,,4500.0,6421.0,700842.0,2021-05-03 01:01:00+00:00
Western Sahara,10,,1.0,,8,,1,,2.0,,,609508.0,2021-05-03 01:01:00+00:00
MS Zaandam,9,,2.0,,7,,0,,,,,,2021-05-03 01:01:00+00:00
Vanuatu,4,,1.0,,3,,0,,3.0,23000.0,73460.0,313095.0,2021-05-03 01:01:00+00:00
Marshall Islands,4,,,,4,,0,,,,,59523.0,2021-05-03 01:01:00+00:00
Samoa,3,,,,2,,1,,,,,199514.0,2021-05-03 01:01:00+00:00
Saint Helena,2,,,,2,,0,,,,,6092.0,2021-05-03 01:01:00+00:00
Micronesia,1,,,,1,,0,,,,,116027.0,2021-05-03 01:01:00+00:00
