Country,TotalCases,TotalDeaths,TotalRecovered,ActiveCases,Serious,Deaths1Mpop,TotalTests,Tests1Mpop,Population,NewCases,NewDeaths,NewRecovered,NewActive,LastUpdated
World,154998238,3241462.0,133229458,18527318,110963.0,415.8,,,,770549,13416.0,840906,-83773,2021-05-05 05:56:00+00:00
USA,33274659,592409.0,25966389,6715861,9451.0,1781.0,451246395.0,1356591.0,332632623.0,43667,895.0,57705,-14933,2021-05-05 05:56:00+00:00
India,20665148,226188.0,16951731,3487229,8944.0,163.0,294852078.0,211913.0,1391382919.0,382315,3780.0,338439,40096,2021-05-05 05:56:00+00:00
Brazil,14860812,411854.0,13442996,1005962,8318.0,1926.0,46439030.0,217180.0,213827754.0,69378,3025.0,106520,-40167,2021-05-05 05:56:00+00:00
France,5680378,105387.0,4717083,857908,5504.0,1612.0,77243683.0,1181187.0,65394942.0,24371,257.0,60665,-36551,2021-05-05 05:56:00+00:00
Turkey,4929118,41527.0,4554037,333554,3452.0,488.0,48229733.0,566742.0,85099924.0,28997,336.0,38218,-9557,2021-05-05 05:56:00+00:00
Russia,4839514,111535.0,4457044,270935,2300.0,764.0,130200000.0,891860.0,145987100.0,0,0.0,0,0,2021-05-05 05:56:00+00:00
UK,4423796,127543.0,4234772,61481,185.0,1871.0,159657232.0,2341512.0,68185535.0,1946,4.0,3022,-1080,2021-05-05 05:56:00+00:00
Italy,4059821,121738.0,3524194,413889,2423.0,2016.0,59552161.0,986175.0,60386998.0,9113,305.0,18477,-9669,2021-05-05 05:56:00+00:00
Spain,3544945,78399.0,3222697,243849,2292.0,1676.0,47213067.0,1009473.0,46770012.0,4515,106.0,0,4409,2021-05-05 05:56:00+00:00
Germany,3448182,84285.0,3084700,279197,5049.0,1003.0,55490413.0,660529.0,84009107.0,12305,265.0,23200,-11160,2021-05-05 05:56:00+00:00
Argentina,3047417,65202.0,2717458,264757,5389.0,1432.0,11435298.0,251084.0,45543664.0,26238,410.0,19386,6442,2021-05-05 05:56:00+00:00
Colombia,2919805,75627.0,2737757,106421,6006.0,1473.0,15060360.0,293359.0,51337597.0,14551,463.0,16440,-2352,2021-05-05 05:56:00+00:00
Poland,2808052,68133.0,2536931,202988,2609.0,1802.0,14490193.0,383220.0,37811727.0,0,0.0,0,0,2021-05-05 05:56:00+00:00
Iran,2575737,73219.0,2022586,479932,5461.0,862.0,16379357.0,192940.0,84893621.0,20150,344.0,17637,2169,2021-05-05 05:56:00+00:00
Mexico,2352964,217740.0,1875211,260013,4798.0,1674.0,6678270.0,51344.0,130068544.0,3064,395.0,2836,-167,2021-05-05 05:56:00+00:00
Ukraine,2090986,45077.0,1697358,348551,177.0,1036.0,9487141.0,218033.0,43512338.0,5048,327.0,15543,-10822,2021-05-05 05:56:00+00:00
Peru,1818689,62674.0,1688091,67924,2657.0,1879.0,11348411.0,340216.0,33356492.0,4562,299.0,0,4263,2021-05-05 05:56:00+00:00
Indonesia,1686373,46137.0,1541149,99087,,167.0,14867701.0,53879.0,275948657.0,4369,188.0,5658,-1477,2021-05-05 05:56:00+00:00
Czechia,1636836,29421.0,1565481,41934,458.0,2743.0,18816612.0,1754350.0,10725686.0,0,0.0,0,0,2021-05-05 05:56:00+00:00
South Africa,1586148,54511.0,1509656,21981,546.0,909.0,10739813.0,179190.0,59935197.0,1187,59.0,1098,30,2021-05-05 05:56:00+00:00
Netherlands,1524527,17221.0,1284925,222381,821.0,1003.0,12762141.0,743422.0,17166747.0,7725,32.0,6790,903,2021-05-05 05:56:00+00:00
Canada,1249950,24396.0,1142854,82700,1456.0,642.0,32009489.0,841917.0,38019779.0,6693,54.0,7498,-859,2021-05-05 05:56:00+00:00
Chile,1219064,26696.0,1155630,36738,3303.0,1387.0,13273297.0,689383.0,19253876.0,3249,37.0,5835,-2623,2021-05-05 05:56:00+00:00
Iraq,1086141,15608.0,971793,98740,579.0,381.0,9484523.0,231466.0,40975955.0,6143,42.0,7242,-1141,2021-05-05 05:56:00+00:00
Philippines,1067892,17622.0,984210,66060,750.0,159.0,11987562.0,108188.0,110802755.0,0,0.0,0,0,2021-05-05 05:56:00+00:00
Romania,1059331,28474.0,1000451,30406,1190.0,1488.0,8305578.0,434176.0,19129521.0,994,94.0,2702,-1802,2021-05-05 05:56:00+00:00
Belgium,999627,24367.0,873152,102108,824.0,2095.0,12694315.0,1091327.0,11632000.0,2731,45.0,4858,-2172,2021-05-05 05:56:00+00:00
Sweden,988554,14091.0,817752,156711,407.0,1388.0,8798383.0,866653.0,10152141.0,14950,43.0,1403,13504,2021-05-05 05:56:00+00:00
Pakistan,841636,18429.0,738727,84480,5211.0,82.0,12010519.0,53504.0,224476929.0,4113,119.0,5665,-1671,2021-05-05 05:56:00+00:00
Israel,838697,6369.0,831090,1238,93.0,692.0,14275737.0,1552117.0,9197590.0,33,0.0,54,-21,2021-05-05 05:56:00+00:00
Portugal,837715,16981.0,797901,22833,87.0,1669.0,10677767.0,1049755.0,10171675.0,258,4.0,777,-523,2021-05-05 05:56:00+00:00
Hungary,784837,28045.0,532990,223802,549.0,2909.0,5438145.0,564141.0,9639699.0,0,0.0,0,0,2021-05-05 05:56:00+00:00
Bangladesh,765596,11705.0,695032,58859,1119.0,70.0,5540394.0,33363.0,166065347.0,1914,61.0,3870,-2017,2021-05-05 05:56:00+00:00
Jordan,715703,8955.0,694427,12321,729.0,870.0,6763398.0,657401.0,10288079.0,1530,30.0,3209,-1709,2021-05-05 05:56:00+00:00
Serbia,694473,6456.0,648438,39579,138.0,741.0,3869214.0,444343.0,8707728.0,1304,24.0,2948,-1668,2021-05-05 05:56:00+00:00
Switzerland,665585,10667.0,594764,60154,221.0,1225.0,7001299.0,804031.0,8707747.0,1633,12.0,0,1621,2021-05-05 05:56:00+00:00
